malId|malScore|popularity|favorites
441|7.61|44902|518
442|7.11|260853|253
443|7.3|45381|51
444|7.65|24976|82
445|6.2|16093|11
446|6.56|9570|21
447|6.71|17621|136
448|7.04|40105|31
449|7.55|85206|140
450|7.67|95394|228
451|7.8|91983|183
452|7.56|92886|149
454|6.12|19916|18
455|7.52|30206|270
456|6.92|18362|56
457|8.67|729276|24245
458|6.22|7959|13
459|7.09|104117|226
460|7.13|79746|23
461|6.91|71286|24
462|7.55|86047|56
463|7.17|68709|23
464|7.72|83222|275
465|7.23|62494|16
466|6.73|31944|8
467|8.43|361942|7998
468|7.8|146341|884
469|7.13|167243|726
470|6.32|25628|32
471|6.5|19589|33
472|6.59|24700|50
473|6.62|6873|10
474|7.71|42396|371
475|6.88|5787|7
476|7.31|46361|146
477|7.68|146536|1954
478|7.1|71537|333
479|7.74|109038|817
481|7.47|350066|4003
482|7.17|191955|1371
483|7.32|28550|130
484|7.34|9217|17
485|7.27|10488|48
486|8.3|269423|6091
487|6.63|84920|123
488|7.64|86983|780
489|7.37|56353|232
490|7.44|57698|394
492|6.84|16717|19
493|7.06|13562|30
495|6.68|19251|42
496|6.62|6051|17
497|6.54|27613|101
498|6.08|6062|4
499|6.15|18939|39
501|7.37|19135|123
502|6.79|59753|31
503|5.38|4393|4
504|6.57|12016|40
505|7.28|10498|64
506|7.34|8066|37
507|6.92|30806|75
508|6.98|52983|232
509|6.78|35831|90
510|5.82|5649|6
511|6.17|5435|2
512|8.22|482520|4347
513|8.27|413360|3535
514|6.81|64904|362
515|6.04|4866|6
516|7.69|68805|1036
517|7.73|56007|98
518|6.85|7027|25
519|7.32|24060|100
520|7.34|9826|19
521|7.1|70943|701
522|7.53|91503|537
523|8.26|907075|6964
524|7.02|28610|12
525|6.95|16441|42
526|7.14|16750|124
527|7.35|559609|4596
528|7.63|234435|352
529|7.15|90105|547
530|7.7|333803|8937
531|7.7|58802|199
532|7.87|130335|1280
533|6.66|7810|19
534|7.74|128993|1856
535|8.02|64737|781
536|7.28|22463|24
537|5.26|14458|19
538|6.87|33943|84
539|7.63|47204|524
540|7.64|26112|82
541|7.29|19150|44
543|7.89|151970|1605
544|6.77|12423|41
545|6|3253|2
546|5.94|10834|7
547|6.18|2766|1
548|7.02|33114|71
550|7.21|213870|1015
551|7.47|64221|210
552|7.77|366610|4822
553|7.04|51732|380
554|6.76|22742|59
555|6.27|11207|8
556|6.08|5081|3
557|6.67|6468|8
558|8.21|65675|298
559|6.3|6950|3
560|7.38|14127|25
561|6.85|22766|50
562|6.39|2657|1
563|6.65|39678|91
564|6.54|30790|100
565|7.33|74007|138
566|7.09|27627|65
567|7.53|84690|816
568|7.09|34273|156
569|7.86|43192|482
570|7.78|148224|1533
571|6.02|3333|5
572|8.37|324726|4348
573|7.34|29239|191
574|5.69|3623|1
576|6.33|32750|38
577|6.17|7882|17
578|8.51|564888|6548
579|6.92|32405|103
580|6.82|5945|33
581|6.22|9390|12
582|7.67|11589|132
584|7.59|84893|712
585|8.22|293475|3839
586|7.41|65911|242
587|7.49|94485|477
588|5.91|12898|11
589|8.03|23975|767
590|6.59|24791|25
591|6.46|70045|79
592|6.85|1850|2
593|7.45|40267|309
594|6.76|83141|134
595|6.81|12037|4
596|6.98|44808|59
597|7.74|230357|1207
598|6.97|8951|60
599|6.48|5206|4
600|4.88|11028|10
601|7.32|68844|801
602|6.49|2536|8
603|7.04|41927|258
604|7.14|10548|41
605|6.77|6717|43
606|7.12|14830|66
607|6.96|6623|10
608|6.43|6046|4
609|7.08|17116|17
610|6.28|22467|51
611|5.62|3623|10
612|6.52|6436|9
613|7.15|5711|25
614|6.36|8651|10
615|6.63|15375|50
616|6.93|3650|16
617|7.61|119203|939
618|6.68|37834|75
619|5.63|4197|3
620|7.04|24577|75
621|6.93|18244|87
622|6.5|8096|7
623|6.78|5742|14
624|6|18699|25
625|5.49|2794|0
626|6.66|7801|12
627|8.23|91491|1317
629|7.05|8487|22
630|6.75|9974|24
631|7.1|10627|2
632|6.91|6331|2
633|7.29|11179|72
634|7.08|78704|453
635|6.67|17346|30
636|6.85|10220|17
637|6.59|17811|26
641|6.84|17741|8
642|6.85|18113|4
644|7.67|29455|43
645|7.96|22192|32
646|6.72|4045|12
647|6.21|3356|2
648|6.13|7559|5
649|6.77|21843|13
650|7.31|42879|325
651|6.1|23855|15
652|7.17|9477|7
653|7.29|8838|18
654|7.14|3483|3
655|7.21|7406|11
656|7.31|38905|38
658|7.93|91948|1123
659|7.03|38071|18
660|6.46|3369|6
661|6.12|3224|5
664|7.26|40848|36
665|7.2|71102|318
666|7.39|102449|1401
667|6.64|46736|169
668|5.76|15211|14
669|6.09|11324|5
670|6.81|39516|65
671|6.56|7892|17
673|6.9|11426|15
675|5.13|3495|5
676|5.74|2244|1
677|6.43|3073|5
678|7.1|12876|60
679|6.58|5163|11
681|5.04|1973|1
682|6.53|14048|21
683|6.36|2023|1
684|6.53|5259|3
685|6.4|8520|6
686|6.05|3122|1
687|7.03|134610|1255
688|6.7|23599|65
689|6.9|5618|6
690|7.15|35573|168
691|7.5|17922|101
692|5.69|2096|2
693|6.19|8901|3
694|6.75|25618|46
695|5.68|7196|0
696|7.43|70644|547
704|6.71|13005|3
705|4.69|2339|1
706|6.5|9100|7
707|6.38|3580|3
708|7.56|7179|67
709|7.72|26234|279
710|7.3|106947|303
711|6.71|4639|5
712|7.2|14785|29
713|7.24|58088|114
714|7.26|3326|20
715|6.37|4944|4
718|6.39|6714|6
719|7.08|34719|364
721|8.12|148756|4374
722|6.21|5765|13
723|6.75|3637|9
724|5.19|21298|42
725|4.96|2664|1
727|7.06|2640|13
729|7.06|4409|9
730|5.07|7174|6
731|8.13|65825|821
732|7.04|73208|308
733|6.23|10827|20
734|6.64|6622|7
736|5.84|14277|18
738|7.26|47622|267
740|7.7|140035|733
741|6.69|43296|164
743|6.55|108568|401
744|6.51|5049|16
746|5.92|47237|122
747|6.69|24662|68
748|5.99|4598|5
749|5.95|1254|1
750|6.94|10284|56
751|6.9|3908|44
752|4.89|7728|4
753|6.22|5196|10
754|6.99|3957|17
755|5.62|17016|38
756|5.86|34992|44
757|6.68|5429|1
758|7.01|14496|19
759|8.28|246172|2066
760|7.06|21264|14
761|6.55|78664|85
762|7.16|115411|208
763|7.36|45725|251
764|7.32|26403|137
765|4.96|2110|1
766|6.01|9022|12
767|6.08|7869|5
769|6.36|9179|5
770|7.32|65502|221
771|6.65|7003|17
773|6.22|4165|6
776|6.6|8600|12
777|8.36|805640|19010
779|7.85|63400|77
780|7.88|56373|58
781|8.03|58594|67
782|6.64|19825|45
783|6.46|5849|15
785|7.13|27853|112
786|5.71|4374|8
788|4.32|28005|41
789|6.91|43898|88
790|7.91|564716|11783
791|6.13|5807|7
792|7.42|19218|16
793|7.95|60818|109
795|7.82|37993|798
796|6.81|1840|3
797|6.67|9230|8
798|7.39|13033|37
799|6.52|5999|15
800|6.85|32151|133
801|8.52|209068|2914
807|7.31|43652|62
808|6.5|6135|9
810|6.44|3203|3
811|6.87|24568|57
812|6.8|28581|177
813|8.15|1079683|32335
814|7.46|14383|26
815|7.34|20126|25
816|5.51|10169|15
817|6.42|9525|11
818|6.17|12791|15
819|6.25|40459|90
820|9.03|275608|14380
821|7.56|32724|90
822|7.31|44269|69
823|6.4|4157|12
824|5.85|7626|7
825|6.3|11913|22
827|5.77|5450|15
828|5.72|2028|0
830|6.68|17453|100
831|7.07|21946|120
832|5.63|2772|4
833|6.38|12298|15
834|6.98|106711|132
835|6.26|8538|8
836|6.39|22899|79
837|7.22|29244|38
838|6.01|32560|63
839|6.17|2210|1
840|6.54|17671|22
841|5.98|23890|45
842|7.16|12685|37
844|7.27|7882|3
845|7.3|73187|425
846|8|148350|723
848|6.16|2754|2
849|7.84|836966|14408
850|6.49|62579|168
851|8.06|28655|334
852|7.57|19646|222
853|8.16|996575|30511
854|6.12|21014|19
855|7.29|128632|1721
856|7.64|152057|1108
857|7.5|326636|3405
858|5.85|4395|3
859|6.94|80345|293
860|6.73|41487|140
861|7.99|285519|4052
863|6.58|34377|54
864|6.34|11613|9
865|6.67|4831|9
866|7.19|18187|6
867|7.32|17834|10
868|7.33|18182|13
869|7.32|18650|21
870|6.85|18995|75
872|7.07|27443|73
873|6.88|70598|231
874|7.63|180000|1669
875|7.78|70543|907
876|7.05|24714|94
877|8.51|535889|22416
878|7.31|31923|160
879|7.44|39160|409
880|7.56|62015|155
881|5.98|26621|8
882|6.8|27995|63
883|7.19|25623|25
884|6.86|17467|20
885|7.7|118036|2619
886|6.67|48053|41
887|6.27|4481|1
888|6.37|20625|50
889|8.03|859032|15479
890|7.82|18751|305
891|6.75|55948|32
892|6.84|50603|18
893|7.13|53806|33
894|6.65|109564|35
895|6.61|101191|25
896|6.7|120334|41
897|6.56|106037|18
898|7.04|128771|54
899|6.8|112783|22
900|6.85|108338|26
901|7.32|142906|137
902|7.1|106437|44
903|6.78|116903|39
904|5.82|108246|16
905|7.56|131443|114
906|7.33|114811|69
907|6.99|60029|242
908|7.31|66487|83
909|6.35|12908|15
910|6.32|22852|16
911|7.1|6578|4
912|7.03|5800|21
913|6.6|5437|6
914|7.54|15705|136
915|7.22|13965|231
916|6.55|42810|92
917|7.06|18466|70
918|8.95|929550|53729
919|6.62|13072|14
920|6.42|4956|1
921|6.65|5749|5
924|6.64|2926|5
925|6.43|3620|3
926|6.68|2681|7
927|6.14|4949|13
928|6.65|5419|22
929|7.05|10464|33
930|7.01|13905|94
932|6.05|7577|4
933|6.95|29936|102
934|7.91|727592|19537
935|7.23|106116|519
936|6.88|209457|150
937|6.57|27273|34
938|7.05|5199|17
940|7.24|66185|202
941|6.97|29725|113
942|6.73|17366|46
943|6.43|8383|14
944|7.32|20183|94
949|7.87|109719|2468
950|6.47|13019|14
951|7.6|10635|94
952|6.22|6644|9
953|7.23|67816|352
956|6.7|2144|3
957|7.9|87804|1078
958|7.14|17023|60
959|7.32|8366|30
960|7.28|3562|2
961|7.11|9471|31
962|8.18|71629|759
963|7.23|36156|12
964|5.51|5860|1
965|6.8|4684|5
966|7.74|70776|1023
967|7.97|115848|2029
968|6.89|3353|5
969|7.59|111275|400
970|7.35|5514|38
971|6.99|20451|99
972|6.66|25203|51
973|6.55|11207|19
974|7.22|83218|531
975|7.37|33068|280
976|7.13|17208|46
977|5.4|7362|10
978|7.72|13237|315
979|6.53|14796|21
980|6.32|4703|9
981|6.87|25871|8
982|5.8|11763|8
983|5.73|2878|1
984|6.75|44975|13
985|7.74|95005|146
986|7.55|91485|110
987|6.53|67163|65
988|6.01|1583|2
989|5.97|869|2
990|7.12|45680|83
991|5.58|6078|7
992|7.08|16504|58
993|6.89|5066|7
994|4.8|2884|2
995|7.91|42540|62
996|7.93|100379|1084
997|7.68|49138|105
998|7.02|26960|109
999|6.43|6024|0
1000|7.69|32473|284
1001|6.62|1805|1
1002|7.64|70482|808
