malId|malScore|popularity|favorites
714|6.51|1829|7
715|7.55|16385|442
717|7.15|781|8
719|7.22|1053|9
720|7.34|7600|132
722|7.31|992|8
723|7.61|2381|49
724|7.02|7404|100
726|7.57|16882|553
727|7.57|25882|700
728|7.32|6636|112
729|8.16|23831|757
730|7.35|4028|41
731|8.28|47123|1822
732|7.43|3549|35
733|7.32|2417|43
735|8.27|43420|1850
736|8.36|31244|1207
737|7.2|1516|9
738|7.65|10529|191
739|7.08|3167|64
740|7.74|23338|558
741|6.97|2990|25
743|8.42|63769|609
744|7.94|5925|158
745|8.61|88230|4164
746|7.2|1862|37
747|7.58|12421|253
748|6.5|558|12
749|7.56|12859|333
750|7.4|852|21
751|7.53|10721|143
752|6.5|2404|9
753|7.22|1909|29
755|7.69|13606|511
756|8.64|42602|1947
757|6.7|350|2
758|7.29|1019|18
759|7.54|7734|65
760|6.57|8801|139
761|7.3|2264|107
762|8.31|16800|706
763|7.05|14453|86
764|7.23|2179|27
765|8.19|30464|1883
766|7.83|13436|353
767|7.92|5232|132
768|8.42|68378|4086
769|8.26|16875|1014
770|8.14|20125|705
771|8.14|12697|444
772|7.32|10495|270
773|7.93|14770|417
774|7.62|1984|23
775|8.26|7478|406
776|7.85|2019|33
777|6.92|1408|8
778|7.64|5145|88
779|7.31|7758|136
780|7.51|2943|16
781|7.4|1096|7
782|7.45|3495|41
783|7.61|9511|212
784|6.96|1511|10
785|7.08|792|3
786|7.68|5597|93
788|7.29|2846|17
789|7.8|15403|342
790|7.43|2883|9
791|7.14|2139|7
792|8.15|12470|406
793|7.34|11411|64
794|6.62|623|0
795|6.87|650|4
796|7.71|13468|534
797|7.17|1524|2
801|7.9|8571|195
802|7.07|761|1
803|6.79|1781|3
804|6.79|741|1
806|6.32|350|1
807|6.88|1406|0
808|7.02|3022|6
809|6.76|1774|0
810||365|1
811|6.47|607|0
812|6.5|572|0
813|7.49|5151|10
815|7.55|4683|52
816|7.14|2305|3
817|7.02|882|1
818|7.7|28524|1001
820|7.89|8422|115
821|6.68|784|7
823|7.47|998|27
824|7.5|2219|18
825|8.02|3369|67
826|7.46|4438|42
827||429|3
828|6.89|8916|53
829|7.02|2811|11
830|7.2|1353|5
831|6.98|990|2
832|6.8|796|2
833|7.4|2233|19
834|6.97|1806|7
835|6.65|2566|12
837|7.42|3928|51
838|8.32|48589|2020
839|6.07|976|2
840|7.16|1838|19
841|7.14|2538|1
843|7.44|9190|97
844|7.18|2467|23
845|7.53|5788|70
846|7.36|1106|12
847|6.62|1479|5
848|7.71|6392|68
850|6.91|2909|10
851|7.4|2396|10
852|6.68|1885|44
853|7.45|4876|31
854|7.51|10986|329
855|7.29|3186|65
856|6.35|1006|1
857|8.09|3379|153
858|7.1|4230|103
859|6.54|1001|3
860|6.86|3037|14
861|7.26|4472|43
862|7.17|6458|31
863|7.59|1321|14
864|6.76|1867|6
865|7.58|3202|12
866|7.38|5729|60
868|7.87|6361|146
869|8.35|26337|1810
870|6.65|1879|8
871|7.96|10197|342
872|8.11|80915|3112
873|7.56|32430|729
874|7.24|6785|81
876|7.32|1945|31
877|7.97|23226|1124
878|7.71|21046|552
879|7.02|1770|7
880|6.45|438|1
881|6.49|9726|20
882|7.13|853|5
884|6.79|2727|31
885|7.92|8821|228
886|7.67|5107|58
887|7.17|1518|8
888|7.98|10620|369
889|7.15|7642|245
890|6.37|2138|7
891|7.47|8883|201
892|7.93|6730|107
893|7.68|13409|288
894|7.64|86779|3460
895|8.34|10878|443
896|6.63|3364|9
898|7.05|1406|1
